Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,08/31/2026,"BUC-EE'S #0051 FORT VALLEY GA                08/30",-2.07,DEBIT_CARD,2992.88,,
DEBIT,08/31/2026,"REBOOT MACN MACON GA                         08/29",-8.24,DEBIT_CARD,2994.95,,
DEBIT,08/31/2026,"FATTY'S PIZZA MACON GA                       08/30",-6.52,DEBIT_CARD,3003.19,,
DEBIT,08/31/2026,"BJS FUEL #9246 6201 WA BYRON GA      212589  08/29",-25.00,DEBIT_CARD,3009.71,,
DEBIT,08/31/2026,"Spotify P463CF3A4E New York NY               08/29",-12.99,DEBIT_CARD,3034.71,,
DEBIT,08/31/2026,"DILLARDS 698 DILLARD' 800-345-5273 AR        08/30",-129.30,DEBIT_CARD,3047.70,,
DEBIT,08/31/2026,"TST*WOODLANDS COFFEE RO Kathleen GA          08/29",-9.02,DEBIT_CARD,3177.00,,
DEBIT,08/31/2026,"CHICK-FIL-A #04944 478-328-0445 GA           08/28",-15.03,DEBIT_CARD,3186.02,,
DEBIT,08/31/2026,"COCA COLA MACON GA MACON GA                  08/28",-3.50,DEBIT_CARD,3201.05,,
DEBIT,08/31/2026,"CHICK-FIL-A #04944 478-328-0445 GA           08/27",-8.71,DEBIT_CARD,3204.55,,
DEBIT,08/31/2026,"CHICK-FIL-A #04944 478-328-0445 GA           08/27",-5.45,DEBIT_CARD,3213.26,,
DEBIT,08/31/2026,"VENMO*DUPATI JOSHUA VISA DIRECT NY   120476  08/29",39.30,DEBIT_CARD,3218.71,,
CREDIT,08/31/2026,"Online Transfer from CHK ...9861 transaction#: 30601673879",40.00,ACCT_XFER,3179.41,,
CREDIT,08/31/2026,"Online Transfer from CHK ...9338 transaction#: 30611303690",1000.00,ACCT_XFER,3139.41,,
DEBIT,08/28/2026,"CHICK-FIL-A #04570 WARNER ROBINS GA          08/26",-5.66,DEBIT_CARD,2139.41,,
CREDIT,08/28/2026,"DFAS-CLEVELAND   FED SALARY                 PPD ID: 3041036004",2085.28,ACH_CREDIT,2145.07,,
DEBIT,08/27/2026,"PP*APPLE.COM/BILL 800-275-2273 CA            08/27",-2.99,DEBIT_CARD,59.79,,
DEBIT,08/24/2026,"ROBINS AFB COMMI 923 M ROBINS AFB GA 576874  08/24",-8.83,DEBIT_CARD,62.78,,
DEBIT,08/24/2026,"ANTHROPIC ANTHROPIC.COM CA                   08/23",-5.00,DEBIT_CARD,71.61,,
DEBIT,08/24/2026,"ANTHROPIC ANTHROPIC.COM CA                   08/23",-5.00,DEBIT_CARD,76.61,,
DEBIT,08/24/2026,"PUBLIX #1291 BYRON GA                        08/23",-94.56,DEBIT_CARD,81.61,,
DEBIT,08/24/2026,"DD/BR #340542 WARNER ROBINS GA               08/23",-9.17,DEBIT_CARD,176.17,,
DEBIT,08/24/2026,"ANTHROPIC* CLAUDE SU ANTHROPIC.COM CA        08/23",-20.00,DEBIT_CARD,185.34,,
DEBIT,08/24/2026,"TACO BELL #029101 WARNER ROBINS GA           08/23",-9.18,DEBIT_CARD,205.34,,
DEBIT,08/24/2026,"AMAZON MKTPL*5O20U64 Amzn.com/bill WA        08/23",-4.35,DEBIT_CARD,214.52,,
DEBIT,08/24/2026,"SQ *DECADENT A COFFE Warner Robins GA        08/22",-1.60,DEBIT_CARD,218.87,,
DEBIT,08/24/2026,"5GUYS 0623 QSR WARNER ROBINS GA              08/22",-12.44,DEBIT_CARD,220.47,,
DEBIT,08/24/2026,"Amazon.com*5O3WW1NP0 Amzn.com/bill WA        08/22",-15.77,DEBIT_CARD,232.91,,
DEBIT,08/24/2026,"TST*2 GUYS AND A PIE Bonaire GA              08/21",-22.21,DEBIT_CARD,248.68,,
DEBIT,08/24/2026,"AMAZON PRIME*JY2H33B Amzn.com/bill WA        08/21",-8.01,DEBIT_CARD,270.89,,
DEBIT,08/24/2026,"Vagaro_*Claires Barbe CENTERVILLE GA         08/21",-28.00,DEBIT_CARD,278.90,,
DEBIT,08/24/2026,"CHICK-FIL-A #04944 478-328-0445 GA           08/21",-5.66,DEBIT_CARD,306.90,,
DEBIT,08/24/2026,"QT 1735 INSIDE WARNER ROBINS GA              08/21",-3.39,DEBIT_CARD,312.56,,
DEBIT,08/21/2026,"SQ *MAKS BEAUTY SALON & Byron GA             08/20",-17.05,DEBIT_CARD,315.95,,
DEBIT,08/21/2026,"COCA COLA MACON GA MACON GA                  08/20",-3.50,DEBIT_CARD,333.00,,
DEBIT,08/21/2026,"CHICK-FIL-A #04944 478-328-0445 GA           08/19",-5.02,DEBIT_CARD,336.50,,
DEBIT,08/20/2026,"SP LIONA OF MARZA LIONA.SHOP WY              08/19",-13.98,DEBIT_CARD,341.52,,
DEBIT,08/20/2026,"Amazon.com*5A65X8DJ0 Amzn.com/bill WA        08/19",-72.73,DEBIT_CARD,355.50,,
DEBIT,08/19/2026,"BJS FUEL #9246 6201 WA BYRON GA      193139  08/19",-43.39,DEBIT_CARD,428.23,,
DEBIT,08/19/2026,"CHICK-FIL-A #04944 478-328-0445 GA           08/17",-16.20,DEBIT_CARD,471.62,,
DEBIT,08/18/2026,"FlintEnergies    PURCHASE   990000246429927 WEB ID: 9900002400",-42.55,ACH_DEBIT,487.82,,
DEBIT,08/18/2026,"PUBLIC.COM TAPX  ACH        26081700867272  WEB ID: 2561673990",-50.00,MISC_DEBIT,530.37,,
DEBIT,08/18/2026,"DEPT EDUCATION   STUDENT LN 6S71R92FFV1     WEB ID: 9102002005",-300.00,ACH_DEBIT,580.37,,
DEBIT,08/18/2026,"MAHARAJA MARKET WARNER ROBINS GA             08/17",-4.11,DEBIT_CARD,880.37,,
DEBIT,08/18/2026,"AMAZON MKTPL*5A37V0N Amzn.com/bill WA        08/17",-10.69,DEBIT_CARD,884.48,,
DEBIT,08/18/2026,"Amazon.com*5A2JD8EK0 Amzn.com/bill WA        08/17",-19.05,DEBIT_CARD,895.17,,
DEBIT,08/18/2026,"AMAZON MKTPL*5A7XH3L Amzn.com/bill WA        08/17",-10.65,DEBIT_CARD,914.22,,
DEBIT,08/18/2026,"AMAZON MKTPL*5A6GS21 Amzn.com/bill WA        08/17",-27.26,DEBIT_CARD,924.87,,
DEBIT,08/18/2026,"Amazon.com*5A40E8001 Amzn.com/bill WA        08/17",-10.69,DEBIT_CARD,952.13,,
DEBIT,08/18/2026,"Amazon.com*5A1VT8LE2 Amzn.com/bill WA        08/17",-16.02,DEBIT_CARD,962.82,,
DEBIT,08/18/2026,"AMAZON MKTPL*5A5CY5Z Amzn.com/bill WA        08/17",-31.99,DEBIT_CARD,978.84,,
DEBIT,08/18/2026,"AMAZON MKTPL*5A9GZ6E Amzn.com/bill WA        08/17",-32.08,DEBIT_CARD,1010.83,,
DEBIT,08/18/2026,"VENMO*DUPATI JOSHUA NEW YORK CITY NY 662578  08/18",9.90,DEBIT_CARD,1042.91,,
DEBIT,08/17/2026,"TARGET T-1380 WARNER ROBINS GA               08/16",-21.27,DEBIT_CARD,1033.01,,
DEBIT,08/17/2026,"BJ WHOLESALE #02 6201 BYRON GA       424398  08/16",-58.04,DEBIT_CARD,1054.28,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A5QO64 Amzn.com/bill WA        08/17",-9.62,DEBIT_CARD,1112.32,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A3JZ2A Amzn.com/bill WA        08/17",-4.27,DEBIT_CARD,1121.94,,
DEBIT,08/17/2026,"Amazon.com*5A0AW3A80 Amzn.com/bill WA        08/17",-6.41,DEBIT_CARD,1126.21,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A7TJ7E Amzn.com/bill WA        08/17",-14.71,DEBIT_CARD,1132.62,,
DEBIT,08/17/2026,"Amazon.com*5A01B7AG0 Amzn.com/bill WA        08/17",-24.61,DEBIT_CARD,1147.33,,
DEBIT,08/17/2026,"Amazon.com*5A16J9EM0 Amzn.com/bill WA        08/17",-10.53,DEBIT_CARD,1171.94,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A1KJ0E Amzn.com/bill WA        08/17",-14.54,DEBIT_CARD,1182.47,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A7WI70 Amzn.com/bill WA        08/17",-32.05,DEBIT_CARD,1197.01,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A4T24E Amzn.com/bill WA        08/17",-17.12,DEBIT_CARD,1229.06,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A1C420 Amzn.com/bill WA        08/17",-21.39,DEBIT_CARD,1246.18,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A4BQ1A Amzn.com/bill WA        08/17",-8.55,DEBIT_CARD,1267.57,,
DEBIT,08/17/2026,"Amazon.com*5A5IZ4A50 Amzn.com/bill WA        08/17",-17.10,DEBIT_CARD,1276.12,,
DEBIT,08/17/2026,"Amazon.com*5A1EF13S0 Amzn.com/bill WA        08/17",-13.05,DEBIT_CARD,1293.22,,
DEBIT,08/17/2026,"Amazon.com*5A8QP2JT1 Amzn.com/bill WA        08/17",-13.24,DEBIT_CARD,1306.27,,
DEBIT,08/17/2026,"Amazon.com*5A7E42JM1 Amzn.com/bill WA        08/17",-11.76,DEBIT_CARD,1319.51,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A61X9J Amzn.com/bill WA        08/17",-10.69,DEBIT_CARD,1331.27,,
DEBIT,08/17/2026,"PUBLIX #1291 BYRON GA                        08/16",-79.83,DEBIT_CARD,1341.96,,
DEBIT,08/17/2026,"SUBWAY 39544 WARNER ROBINS GA                08/16",-13.67,DEBIT_CARD,1421.79,,
DEBIT,08/17/2026,"HOPE CHURCH 478-9537898 GA                   08/16",-540.00,DEBIT_CARD,1435.46,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A91Z0J Amzn.com/bill WA        08/16",-21.39,DEBIT_CARD,1975.46,,
DEBIT,08/17/2026,"BUC-EE'S #0051 FORT VALLEY GA                08/15",-5.16,DEBIT_CARD,1996.85,,
DEBIT,08/17/2026,"AMAZON MKTPL*5H9MP1Y Amzn.com/bill WA        08/16",-7.48,DEBIT_CARD,2002.01,,
DEBIT,08/17/2026,"Amazon.com*5A9C31NI1 Amzn.com/bill WA        08/16",-27.26,DEBIT_CARD,2009.49,,
DEBIT,08/17/2026,"WM SUPERCENTER #1367 WARNER ROBINS GA        08/15",-18.88,DEBIT_CARD,2036.75,,
DEBIT,08/17/2026,"CVS/PHARMACY #01586 WARNER ROBINS GA         08/15",-25.04,DEBIT_CARD,2055.63,,
DEBIT,08/17/2026,"TIDAL WAVE WARNER ROB 170-69380991 GA        08/15",-15.00,DEBIT_CARD,2080.67,,
DEBIT,08/17/2026,"TERIYAKI JAPAN MACON GA                      08/15",-11.29,DEBIT_CARD,2095.67,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A1AW1C Amzn.com/bill WA        08/15",-10.69,DEBIT_CARD,2106.96,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A2IX0C Amzn.com/bill WA        08/15",-10.69,DEBIT_CARD,2117.65,,
DEBIT,08/17/2026,"AMAZON MKTPL*5H02W1R Amzn.com/bill WA        08/16",-5.34,DEBIT_CARD,2128.34,,
DEBIT,08/17/2026,"SQ *TASTE AND SEE COFFE Macon GA             08/15",-8.37,DEBIT_CARD,2133.68,,
DEBIT,08/17/2026,"PARK MACON 478-7383981 GA                    08/15",-2.45,DEBIT_CARD,2142.05,,
DEBIT,08/17/2026,"AMAZON MKTPL*5H6CV4U Amzn.com/bill WA        08/15",-10.69,DEBIT_CARD,2144.50,,
DEBIT,08/17/2026,"AMAZON MKTPL*5H6SS19 Amzn.com/bill WA        08/15",-8.55,DEBIT_CARD,2155.19,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A7LS2C Amzn.com/bill WA        08/15",-8.55,DEBIT_CARD,2163.74,,
DEBIT,08/17/2026,"AMAZON MKTPL*5A1YW9C Amzn.com/bill WA        08/15",-10.69,DEBIT_CARD,2172.29,,
DEBIT,08/17/2026,"TACO BELL #029101 WARNER ROBINS GA           08/14",-13.69,DEBIT_CARD,2182.98,,
DEBIT,08/17/2026,"CHICK-FIL-A #04570 WARNER ROBINS GA          08/14",-5.66,DEBIT_CARD,2196.67,,
DEBIT,08/17/2026,"AMAZON PRIME*JJ9WH34 Amzn.com/bill WA        08/14",-1.06,DEBIT_CARD,2202.33,,
DEBIT,08/17/2026,"GOOGLE *Google One 855-836-3987 CA           08/14",-19.99,DEBIT_CARD,2203.39,,
CREDIT,08/17/2026,"Online Transfer from SAV ...0613 transaction#: 30437819471",200.00,ACCT_XFER,2223.38,,
DEBIT,08/14/2026,"Online Transfer to CHK ...9861 transaction#: 30418433783 08/14",-1500.00,ACCT_XFER,2023.38,,
DEBIT,08/14/2026,"Online Transfer to CHK ...9861 transaction#: 30418431173 08/14",-150.00,ACCT_XFER,3523.38,,
DEBIT,08/14/2026,"BEST BUY      000118 WARNER ROBINS GA551040  08/14",-160.49,DEBIT_CARD,3673.38,,
DEBIT,08/14/2026,"Online Transfer to SAV ...0613 transaction#: 30402860105 08/14",-1500.00,ACCT_XFER,3833.87,,
CREDIT,08/14/2026,"DFAS-CLEVELAND   FED SALARY                 PPD ID: 3041036004",5332.70,ACH_CREDIT,5333.87,,
DEBIT,08/07/2026,"DD/BR #340542 WARNER ROBINS GA               08/06",-1.92,DEBIT_CARD,1.17,,
DEBIT,08/05/2026,"AAFES-ROBINS EXPRESS NE ROBINS AFB GA        08/04",-2.99,DEBIT_CARD,3.09,,
DEBIT,08/04/2026,"Pointe Grand Byr RENT       270105232       WEB ID: 1861072180",-1875.95,MISC_DEBIT,6.08,,
